Mutation swap, OX
Tournament
pop_size 10
gen 100
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
src/Evolutionary/TSP/fl417.tsp
Greedy
14821.869100310105	16685.002150654942	15636.358928467345	456.4649775772496	 
Evo
14821.869100310105	22948.097844407508	18662.611875695166	 2876.2814486370485	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467342	456.4649775772496	 
Evo
14821.869100310105	23172.492096917256	18257.468314834503	 3128.3129504953145	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467344	456.4649775772497	 
Evo
15276.914480672116	23710.872387313564	18152.269182446045	 3148.4102616718565	 
Greedy
14821.869100310105	16685.002150654942	15636.35892846736	456.46497757724984	 
Evo
15029.989372688342	23471.69779163707	17021.060009771638	 3121.5595045229957	 
Greedy
14821.869100310105	16685.002150654942	15636.35892846736	456.46497757725	 
Evo
16581.454932262302	22195.53504173063	19157.087223504197	 1818.9840302787825	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467356	456.46497757724967	 
Evo
15855.076214385004	24140.268850448523	18417.16064100008	 3429.463618124921	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467373	456.4649775772498	 
Evo
14821.869100310105	23518.652183188588	18470.33056388691	 2803.993075648016	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467356	456.4649775772499	 
Evo
14821.869100310105	23585.065318433735	18654.249974948314	 2711.295135926853	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467345	456.4649775772497	 
Evo
14821.869100310105	23127.82968340853	18623.448822715978	 3134.9508245310567	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467354	456.46497757724995	 
Evo
14910.01522413814	23443.620705142675	17515.891827069907	 2905.3306623780813	 
src/Evolutionary/TSP/kroA150.tsp
Greedy
32660.052141761094	40297.319913246734	37013.131638157975	1824.7387901522536	 
Evo
36165.422896874	46663.09747886203	38772.726308259924	 3440.836814514389	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815797	1824.7387901522543	 
Evo
32660.052141761094	48501.38718428084	37279.75346647079	 4637.517900065443	 
Greedy
32660.052141761094	40297.319913246734	37013.131638157975	1824.7387901522543	 
Evo
32660.052141761094	45231.21463005218	35867.611521930456	 4000.892264530097	 
Greedy
32660.052141761094	40297.319913246734	37013.131638157975	1824.7387901522534	 
Evo
32660.052141761094	47600.26848686838	38281.82119499489	 4957.642834749132	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815796	1824.738790152254	 
Evo
32713.01207123833	39967.198224612584	34514.375990889814	 2656.925035370203	 
Greedy
32660.052141761094	40297.319913246734	37013.131638157975	1824.7387901522538	 
Evo
32660.052141761094	42963.47402746809	35888.316852970296	 3428.530655429611	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815797	1824.738790152254	 
Evo
32628.285974545193	45607.41299446331	36512.659914879754	 4797.426320931078	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815797	1824.738790152254	 
Evo
32660.052141761094	41437.67114320539	37739.7040579197	 3308.760676026852	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815797	1824.7387901522538	 
Evo
32660.052141761094	47472.67817048921	36554.778604769504	 5149.371249350102	 
Greedy
32660.052141761094	40297.319913246734	37013.131638157996	1824.738790152254	 
Evo
32660.052141761094	45948.79978493968	37514.34141431194	 4675.109268849828	 
src/Evolutionary/TSP/gr666.tsp
Greedy
4001.3608162392798	4486.64703801869	4177.427494954085	84.14353234473134	 
Evo
4001.3608162392798	4593.375991002519	4189.126210650403	 220.03873650838716	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954089	84.1435323447313	 
Evo
4001.3608162392798	4742.880821148245	4133.603377396999	 222.76606244000763	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954087	84.14353234473137	 
Evo
4001.3608162392798	4307.425723014189	4116.746454807882	 105.80172521426381	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954083	84.14353234473134	 
Evo
4001.3608162392798	4812.825124363444	4310.193151420712	 255.55941114047724	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954087	84.14353234473137	 
Evo
4001.3608162392798	4747.955382060737	4185.111729426519	 278.9224839759098	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954087	84.14353234473137	 
Evo
4001.3608162392798	4472.606517539301	4224.276459812527	 179.66068441827798	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954086	84.14353234473136	 
Evo
4001.3608162392798	4759.314703059072	4239.85949955778	 250.39751149139423	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954089	84.14353234473137	 
Evo
4001.3608162392798	4328.826617922214	4112.62837064208	 137.66835061832742	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954088	84.14353234473136	 
Evo
4164.527650223057	5031.854450224574	4466.766665692813	 247.91761067751548	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954085	84.14353234473133	 
Evo
4082.226344275104	4586.168333750395	4203.295118050244	 173.87582400655194	 
src/Evolutionary/TSP/berlin52.tsp
Greedy
8588.474819721734	11169.532419657007	9569.884027885892	602.6232427693822	 
Evo
8588.474819721734	10591.670247755828	9376.12109634878	 782.1439870237202	 
Greedy
8588.474819721734	11169.532419657007	9569.884027885892	602.6232427693822	 
Evo
8365.030570228624	13512.876873062402	10042.481144548548	 1472.0474801382713	 
Greedy
8588.474819721734	11169.532419657007	9569.884027885895	602.6232427693823	 
Evo
8575.430717607856	11375.130822713389	9855.534476177832	 957.0195159498976	 
Greedy
8588.474819721734	11169.532419657007	9569.884027885892	602.6232427693822	 
Evo
9033.034633389725	12900.186526315963	10295.765831117193	 1093.7797263417453	 
Greedy
8588.474819721734	11169.532419657007	9569.884027885892	602.6232427693822	 
Evo
8507.243980068928	13509.588629067912	10411.253153934744	 1558.81986097865	 
Greedy
8588.474819721734	11169.532419657007	9569.884027885892	602.6232427693822	 
Evo
8762.862635411582	11413.038089087864	9645.507796108786	 870.4008357060995	 
Greedy
8588.474819721734	11169.532419657007	9569.884027885892	602.6232427693822	 
Evo
8583.848011601642	11368.116925862138	9401.10643081565	 1115.4434226226083	 
Greedy
8588.474819721734	11169.532419657007	9569.88402788589	602.6232427693819	 
Evo
8588.474819721734	10775.76699226392	9348.155170098335	 786.7332921434538	 
Greedy
8588.474819721734	11169.532419657007	9569.884027885895	602.623242769382	 
Evo
8362.92509072429	13309.020928561977	9743.090648147849	 1744.7252318582252	 
Greedy
8588.474819721734	11169.532419657007	9569.88402788589	602.6232427693822	 
Evo
8557.736594623824	11842.039908224591	9398.988070232997	 961.0754989211346	 
src/Evolutionary/TSP/kroA100.tsp
Greedy
25398.4291392551	30042.93837586329	27722.85002921906	933.3335055362371	 
Evo
25398.4291392551	38970.24997546416	29879.905820985256	 4986.588624511367	 
Greedy
25398.4291392551	30042.93837586329	27722.85002921904	933.3335055362372	 
Evo
25398.4291392551	39577.557062683874	30073.058451672627	 4603.483203657147	 
Greedy
25398.4291392551	30042.93837586329	27722.85002921904	933.3335055362372	 
Evo
25248.140164704866	30154.575503914184	27741.292297384778	 1800.0643597891628	 
Greedy
25398.4291392551	30042.93837586329	27722.85002921903	933.3335055362371	 
Evo
25398.4291392551	39832.675207790715	29058.28332045888	 5509.205966509821	 
Greedy
25398.4291392551	30042.93837586329	27722.850029219037	933.3335055362371	 
Evo
26321.834771352595	38428.913892496836	29265.263732261566	 4146.865542645405	 
Greedy
25398.4291392551	30042.93837586329	27722.850029219047	933.3335055362373	 
Evo
25398.4291392551	34992.492329636334	30350.480598362425	 2795.6579697824595	 
Greedy
25398.4291392551	30042.93837586329	27722.850029219037	933.3335055362372	 
Evo
25398.4291392551	33934.735861773515	28735.308510951058	 3055.8589335122224	 
Greedy
25398.4291392551	30042.93837586329	27722.850029219055	933.3335055362373	 
Evo
28232.654850506617	41324.27889028757	31947.875900151896	 4669.791199142884	 
Greedy
25398.4291392551	30042.93837586329	27722.850029219055	933.333505536237	 
Evo
29387.965809969694	42340.49066691839	33155.52166440808	 4015.266644823544	 
Greedy
25398.4291392551	30042.93837586329	27722.85002921906	933.3335055362371	 
Evo
28203.181036654	35786.694372217375	30096.407707781513	 2693.283962674424	 
src/Evolutionary/TSP/ali535.tsp
Greedy
2497.3164165831004	2973.0678480762235	2718.5609807220203	75.40984521554955	 
Evo
2497.3164165831004	3096.3978915112793	2688.766021425138	 237.71188476404888	 
Greedy
2497.3164165831004	2973.0678480762235	2718.5609807220194	75.40984521554954	 
Evo
2497.3164165831004	2973.7839163383333	2717.1207401671954	 159.16203970616218	 
Greedy
2497.3164165831004	2973.0678480762235	2718.5609807220194	75.40984521554958	 
Evo
2497.3164165831004	3255.4049475746424	2670.7395149793656	 242.11958071463977	 
Greedy
2497.3164165831004	2973.0678480762235	2718.560980722019	75.40984521554955	 
Evo
2497.3164165831004	2993.4810647716813	2672.220872612804	 198.89580804195697	 
Greedy
2497.3164165831004	2973.0678480762235	2718.560980722018	75.40984521554958	 
Evo
2555.339199949895	3377.4311669957647	2757.531745123269	 236.9666013218667	 
Greedy
2497.3164165831004	2973.0678480762235	2718.5609807220208	75.4098452155496	 
Evo
2497.3164165831004	2861.7399990457525	2658.6222749608223	 130.7034705711891	 
Greedy
2497.3164165831004	2973.0678480762235	2718.5609807220176	75.40984521554955	 
Evo
2540.5265612757844	3281.6619608616993	2797.738748977793	 214.39994381746646	 
Greedy
2497.3164165831004	2973.0678480762235	2718.5609807220185	75.40984521554955	 
Evo
2497.3164165831004	3559.919925687079	2851.4605008913527	 309.91313929503974	 
Greedy
2497.3164165831004	2973.0678480762235	2718.5609807220194	75.40984521554952	 
Evo
2503.806903246725	2809.6521633197654	2624.619222561777	 128.16631819205554	 
Greedy
2497.3164165831004	2973.0678480762235	2718.56098072202	75.40984521554955	 
Evo
2537.7577912266383	3264.327459256141	2780.6655250752638	 229.5916524922642	 
src/Evolutionary/TSP/kroA200.tsp
Greedy
35611.037119102904	42508.01917336751	38363.3061185423	1677.1412223735022	 
Evo
35611.037119102904	50011.11792440889	42044.852428968225	 4953.902455013681	 
Greedy
35611.037119102904	42508.01917336751	38363.3061185423	1677.1412223735015	 
Evo
35611.037119102904	47346.691020168575	38684.43613229452	 4357.110323065841	 
Greedy
35611.037119102904	42508.01917336751	38363.3061185423	1677.1412223735017	 
Evo
35611.037119102904	43997.037996743114	38091.48787103131	 2693.031575753289	 
Greedy
35611.037119102904	42508.01917336751	38363.30611854231	1677.1412223735017	 
Evo
35611.037119102904	47325.26785502798	41491.50181359138	 3969.634668954837	 
Greedy
35611.037119102904	42508.01917336751	38363.306118542285	1677.1412223735013	 
Evo
35611.037119102904	43780.62964196324	38278.46421390018	 3401.83621096036	 
Greedy
35611.037119102904	42508.01917336751	38363.3061185423	1677.1412223735022	 
Evo
35735.05603141327	48042.5579264413	42992.506263713185	 4308.470830221319	 
Greedy
35611.037119102904	42508.01917336751	38363.306118542285	1677.1412223735017	 
Evo
35611.037119102904	46874.49788698683	39379.93957532089	 3607.233329322159	 
Greedy
35611.037119102904	42508.01917336751	38363.3061185423	1677.1412223735022	 
Evo
35611.037119102904	43352.82922791006	38824.26430231881	 2839.606891966584	 
Greedy
35611.037119102904	42508.01917336751	38363.3061185423	1677.1412223735022	 
Evo
36070.16599555574	48001.74575665353	41397.53787320884	 4420.5246275753425	 
Greedy
35611.037119102904	42508.01917336751	38363.30611854229	1677.1412223735017	 
Evo
35611.037119102904	46958.26063591476	40215.25337821075	 4122.352936395844	 
src/Evolutionary/TSP/berlin11_modified.tsp
Greedy
4543.086327880018	6477.617386703337	5655.944648623521	500.1352655636065	 
Evo
4286.097802222375	7059.7349465808165	5507.3508113640055	 1052.5685732538545	 
Greedy
4543.086327880018	6477.617386703337	5655.944648623521	500.1352655636065	 
Evo
4250.266948513188	6689.616907037016	4696.310054603554	 727.4252489161346	 
Greedy
4543.086327880018	6477.617386703337	5655.944648623521	500.1352655636064	 
Evo
4476.016523590917	6365.505497816962	5209.507422990228	 668.5533022364328	 
Greedy
4543.086327880018	6477.617386703337	5655.944648623521	500.1352655636065	 
Evo
4170.3952149146335	6664.318200154858	5084.018092330964	 945.9174793499383	 
Greedy
4543.086327880018	6477.617386703337	5655.944648623519	500.1352655636065	 
Evo
4170.3952149146335	6692.549002730608	5142.591542905854	 822.3658667004008	 
Greedy
4543.086327880018	6477.617386703337	5655.94464862352	500.1352655636064	 
Evo
4286.097802222375	6252.417250557474	5027.328396923706	 668.8499719888894	 
Greedy
4543.086327880018	6477.617386703337	5655.944648623521	500.1352655636065	 
Evo
4232.473252826929	6925.58762798017	5320.233378803314	 814.1619955571805	 
Greedy
4543.086327880018	6477.617386703337	5655.944648623521	500.1352655636065	 
Evo
4170.3952149146335	5991.67688415515	4823.396708716396	 666.8844635546873	 
Greedy
4543.086327880018	6477.617386703337	5655.944648623519	500.1352655636065	 
Evo
4543.086327880018	6419.813717754424	5128.2455139732965	 721.7469306109147	 
Greedy
4543.086327880018	6477.617386703337	5655.944648623521	500.1352655636065	 
Evo
